Date,Company,Open,High,Low,Close,Volume
29-01-2025,Google,194.5438526,195.7674572,192.4249154,194.3946381,18218300
30-01-2025,Google,196.971181,200.3535083,196.6428938,199.8262634,24354700
31-01-2025,Google,200.9504068,204.4123205,200.7514491,202.9599152,32001100
03-02-2025,Google,199.647215,202.6913128,199.0602843,200.1844025,27838300
04-02-2025,Google,202.3331784,205.9741645,201.7561903,205.3076477,43856400
05-02-2025,Google,190.0771871,191.7484504,187.0529748,190.3358307,70373900
06-02-2025,Google,188.5153369,191.1018331,187.7393911,190.6044312,29297400
07-02-2025,Google,190.0572901,190.1866043,182.287874,184.3769531,49315000
10-02-2025,Google,186.376531,187.2221053,184.8942676,185.5010986,23105600
11-02-2025,Google,184.0685693,185.9686484,183.3224663,184.3570709,21239500
12-02-2025,Google,182.2679871,184.1481661,180.8852102,182.6559601,22072600
13-02-2025,Google,183.3622705,185.3120777,182.1883939,185.1728058,21402500
14-02-2025,Google,184.0984327,185.4314665,183.3622875,184.2675476,20448400
18-02-2025,Google,184.6356175,184.9937476,180.7956737,182.8151245,29916700
19-02-2025,Google,183.1135656,184.4963424,182.6360488,184.3073273,19549400
20-02-2025,Google,183.8397716,184.3471161,181.7705776,183.6010132,20441500
21-02-2025,Google,184.1879346,184.3769498,178.1494829,178.7264709,35199200
24-02-2025,Google,181.0443872,182.1685054,177.9604887,178.3186188,29854200
25-02-2025,Google,177.114896,177.8112709,173.7823117,174.5085144,41913400
26-02-2025,Google,174.1603264,175.1650729,170.6884553,171.8324738,35431300
27-02-2025,Google,173.0859293,173.6529597,167.0673629,167.6244507,39991000
28-02-2025,Google,167.8034952,169.7234744,165.9034316,169.3951874,48130600
03-03-2025,Google,171.0366301,172.4691502,165.0678066,166.1421967,40770500
04-03-2025,Google,165.3762156,172.3895714,164.9384995,170.0318909,45388000
05-03-2025,Google,169.633977,172.8770325,168.1815565,172.1209869,30954900
06-03-2025,Google,169.6439022,173.9016615,169.6140593,171.4544525,28302000
07-03-2025,Google,170.3701078,174.0608369,169.3852617,172.956604,27385800
10-03-2025,Google,167.578485,167.7776871,163.0270029,165.1981659,43604000
11-03-2025,Google,164.2420511,166.0745947,160.716381,163.3755646,39587400
12-03-2025,Google,165.9052839,166.9609881,162.8676346,166.433136,28372400
13-03-2025,Google,165.3674673,165.4571143,161.4533926,162.1007538,31756200
14-03-2025,Google,162.6087079,165.8156671,161.7920219,164.8197174,31995900
17-03-2025,Google,164.361581,165.6264414,163.0070888,163.6245728,31184300
18-03-2025,Google,163.0170135,163.584712,156.0852132,160.0192108,42074800
19-03-2025,Google,161.1048035,165.198157,160.3478873,163.226181,34275600
20-03-2025,Google,160.9155808,164.2221255,160.3080509,162.1405945,28138500
21-03-2025,Google,160.5570516,163.5747778,160.2383404,163.3257904,36625800
24-03-2025,Google,166.3933245,167.6382616,164.4711337,167.0008392,30879100
25-03-2025,Google,168.295584,169.9389102,167.6382687,169.8691864,24174400
26-03-2025,Google,168.3154931,168.923023,164.1723388,164.391449,28901600
27-03-2025,Google,163.9631894,164.749983,161.3438371,161.5828705,24508300
28-03-2025,Google,159.8399637,161.1645786,153.0077486,153.7049103,48669300
31-03-2025,Google,152.4898548,154.9100052,150.0497812,154.0136566,54603500
01-04-2025,Google,152.9977841,157.4596496,152.9977841,156.4338226,30672900
02-04-2025,Google,154.5215562,157.7683613,154.073382,156.4039001,25041700
03-04-2025,Google,150.4979626,152.1611968,149.7808776,150.1095428,46883400
04-04-2025,Google,147.4105117,150.4581306,144.7911743,145.0102844,62259500
07-04-2025,Google,140.9766888,152.2309239,139.9608158,146.1556244,76794100
08-04-2025,Google,150.6075026,151.6233755,142.4506728,144.1139069,52200200
09-04-2025,Google,143.8350408,158.9037632,143.3271119,158.0671692,70406200
10-04-2025,Google,155.9059377,157.0811661,149.3227105,152.2010193,48022000
11-04-2025,Google,152.2807077,157.0313922,152.2010451,156.50354,33636200
14-04-2025,Google,159.3519461,161.0649807,156.9218265,158.4257202,30333000
15-04-2025,Google,158.4854651,159.0033479,154.5813444,155.6768799,27551500
16-04-2025,Google,152.4799049,155.2585979,150.8963334,152.7089691,28187400
17-04-2025,Google,153.6650567,154.0534764,147.8985152,150.5477448,33046600
21-04-2025,Google,148.2769745,148.3466831,145.508236,147.0718689,26049100
22-04-2025,Google,148.2869392,151.573576,147.9383508,150.8564911,26971800
23-04-2025,Google,154.9797208,156.8919423,153.1870085,154.7207794,31128800
24-04-2025,Google,155.5175449,158.9436144,155.1590024,158.6348724,45894000
25-04-2025,Google,164.4014202,165.4272472,160.387729,161.3040161,56034000
28-04-2025,Google,161.7721085,162.4891936,157.9576344,159.9594879,29745800
29-04-2025,Google,159.6706471,160.0889441,156.8819852,159.5112915,26809000
30-04-2025,Google,157.3401285,158.6249121,154.7705765,158.1568146,34981100
01-05-2025,Google,159.8001195,161.2940439,158.2663637,160.6466827,30203200
02-05-2025,Google,162.7481471,164.3018263,161.2143761,163.3656311,25715000
05-05-2025,Google,162.3397856,164.7201046,162.060921,163.5448914,21341800
06-05-2025,Google,161.5131435,164.1324958,160.5371172,162.5688477,21277200
07-05-2025,Google,163.4154183,164.3316902,147.2411907,150.766861,127490100
08-05-2025,Google,154.3721905,155.2984164,152.2806903,153.6551056,57498700
09-05-2025,Google,153.5455485,154.421989,151.5835266,152.1313019,32435300
12-05-2025,Google,156.8521191,158.4555987,155.6171361,157.8181915,44138800
13-05-2025,Google,158.1468419,159.9196463,155.5275046,158.8838501,42382100
14-05-2025,Google,159.3121338,166.3236136,158.9635453,164.7002106,48755900
15-05-2025,Google,165.1682887,165.5368004,161.7123422,163.2959137,33146700
16-05-2025,Google,167.050632,168.6640808,164.9491776,165.5168762,42846900
19-05-2025,Google,163.8436714,165.965049,163.5548527,165.865448,30426100
20-05-2025,Google,165.7559001,167.8175233,162.2401989,163.3158264,46607700
21-05-2025,Google,163.0269887,172.4387092,162.8975104,167.8772583,73416000
22-05-2025,Google,171.1539591,176.0540297,170.0185771,170.1779175,74864400
23-05-2025,Google,168.3752348,169.2715985,167.2099756,167.7876282,35211400
27-05-2025,Google,169.4707844,172.4685872,169.3114288,172.1996765,37995700
28-05-2025,Google,172.4586279,174.5600821,171.213691,171.6618652,34784000
