Date,Company,Open,High,Low,Close,Volume,Year,Month,Day,Price Change,Daily Return %,MA20,MA50
21-05-2020,Apple,77.13386987,77.67365954,76.4585289,76.69574738,102688800,2020,May,21,-0.43812249,-0.568002734,72.95819054,66.68709717
22-05-2020,Apple,76.43432079,77.27184315,76.332661,77.18954468,81803200,2020,May,22,0.75522389,0.98806908,73.40217018,67.03241631
26-05-2020,Apple,78.30543299,78.4845528,76.61103414,76.6667099,125522000,2020,May,26,-1.63872309,-2.092732301,73.81759338,67.22369194
27-05-2020,Apple,76.52391007,77.145991,75.78563173,77.00075531,112945200,2020,May,27,0.47684524,0.623132351,74.30512085,67.59430031
28-05-2020,Apple,76.67638285,78.29090607,76.40044175,77.03462982,133560800,2020,May,28,0.35824697,0.467219444,74.68390122,67.91416702
29-05-2020,Apple,77.27668877,77.73659554,76.60377068,76.95959473,153532400,2020,May,29,-0.31709404,-0.410335956,74.98566284,68.26241882
01-06-2020,Apple,76.91360133,78.02706486,76.7828885,77.90603638,80791200,2020,June,1,0.99243505,1.290324511,75.39183922,68.63872459
02-06-2020,Apple,77.63975893,78.29089266,77.19921356,78.26668549,87642800,2020,June,2,0.62692656,0.807481333,75.76668129,69.0972715
03-06-2020,Apple,78.58622665,78.9589965,78.01496829,78.6975708,104491200,2020,June,3,0.11134415,0.141684052,76.10995751,69.58794884
04-06-2020,Apple,78.52088098,78.81860639,77.64705128,78.01982117,87560400,2020,June,4,-0.50105981,-0.638123011,76.38229218,69.9563913
05-06-2020,Apple,78.26912702,80.3024042,78.24008136,80.24188995,137250400,2020,June,5,1.97276293,2.520486691,76.72819138,70.37584122
08-06-2020,Apple,79.9393003,80.75019248,79.23007527,80.71630096,95654400,2020,June,8,0.77700066,0.971988317,77.01054955,70.74240067
09-06-2020,Apple,80.39682041,83.65732131,80.36535182,83.26519012,147712400,2020,June,9,2.86836971,3.567765112,77.36128922,71.21159843
10-06-2020,Apple,84.21162467,85.87455499,83.77350211,85.40738678,166651600,2020,June,10,1.19576211,1.419948985,77.86271095,71.68950562
11-06-2020,Apple,84.55293903,84.97653883,81.20529362,81.30695343,201662400,2020,June,11,-3.2459856,-3.838997955,78.20461693,72.08791481
12-06-2020,Apple,83.44189187,84.1874242,80.90029329,82.00891113,200146000,2020,June,12,-1.43298074,-1.717339705,78.55874672,72.56496269
15-06-2020,Apple,80.66547715,83.67424321,80.50329575,83.02310944,138808800,2020,June,15,2.35763229,2.922727756,78.98573494,73.04288551
16-06-2020,Apple,85.07334504,85.49452922,83.44188334,85.22341919,165428800,2020,June,16,0.15007415,0.176405606,79.43499184,73.58180946
17-06-2020,Apple,85.96653488,86.02704912,84.98378413,85.10481262,114406400,2020,June,17,-0.86172226,-1.002392688,79.90034638,74.0166819
18-06-2020,Apple,85.06125001,85.55504835,84.5311446,85.13871002,96820400,2020,June,18,0.07746001,0.091063804,80.29368897,74.46690964
19-06-2020,Apple,85.84309188,86.30783715,83.54596609,84.65216827,264476000,2020,June,19,-1.19092361,-1.38732609,80.69151001,74.87534882
22-06-2020,Apple,85.04430033,87.00980187,84.99830891,86.86698914,135445200,2020,June,22,1.82268881,2.143222771,81.17538223,75.31881363
23-06-2020,Apple,88.10875691,90.13719596,87.6899956,88.72116089,212155600,2020,June,23,0.61240398,0.695054614,81.77810478,75.77396713
24-06-2020,Apple,88.35079902,89.26819705,86.7822671,87.15503693,192623200,2020,June,24,-1.19576209,-1.353425326,82.28581886,76.13117081
25-06-2020,Apple,87.30997573,88.35081802,86.55233602,88.31208801,137522400,2020,June,25,1.00211228,1.147763783,82.84969177,76.52416473
26-06-2020,Apple,88.20799956,88.42827234,85.45096656,85.59862518,205256800,2020,June,26,-2.60937438,-2.95820605,83.2816433,76.851978
29-06-2020,Apple,85.50660492,87.66575584,85.0297525,87.5713501,130646000,2020,June,29,2.06474518,2.414720105,83.76490898,77.23802673
30-06-2020,Apple,87.15986665,88.58800862,87.14050534,88.30237579,140223200,2020,June,30,1.14250914,1.310820202,84.2666935,77.6670369
01-07-2020,Apple,88.37985592,88.92206127,88.08696901,88.13537598,110737200,2020,July,1,-0.24447994,-0.276624054,84.73858376,78.13403458
02-07-2020,Apple,89.04067423,89.67486243,88.02161627,88.13537598,114041600,2020,July,2,-0.90529825,-1.016724388,85.2443615,78.56371201
06-07-2020,Apple,89.56108299,90.96017205,89.5296144,90.49300385,118655600,2020,July,6,0.93192086,1.040542196,85.75691719,79.04570786
07-07-2020,Apple,90.87060685,91.64760765,90.10086747,90.21221161,112424400,2020,July,7,-0.65839524,-0.72454148,86.23171272,79.48375305
08-07-2020,Apple,91.187692,92.34472389,91.10054766,92.31325531,117092000,2020,July,8,1.12556331,1.234336877,86.68411598,79.96285324
09-07-2020,Apple,93.2040418,93.25729463,91.66456288,92.71025085,125642800,2020,July,9,-0.49379095,-0.52979564,87.04925919,80.47205414
10-07-2020,Apple,92.30600881,92.93051996,91.69602788,92.87242126,90257200,2020,July,10,0.56641245,0.613624679,87.62753258,80.94032211
13-07-2020,Apple,94.1746832,96.77921853,92.23096604,92.44397736,191649200,2020,July,13,-1.73070584,-1.837761255,88.14928589,81.37071442
14-07-2020,Apple,91.8267263,94.16499745,90.89481289,93.97377777,170989200,2020,July,14,2.14705147,2.338155302,88.69681931,81.8545398
15-07-2020,Apple,95.84489459,96.09421302,93.42432441,94.62008667,153198000,2020,July,15,-1.22480792,-1.277906273,89.16665268,82.33154465
16-07-2020,Apple,93.4945024,94.31023319,92.8578914,93.4557724,110577600,2020,July,16,-0.03873,-0.041424896,89.58420067,82.76401917
17-07-2020,Apple,93.90600938,94.06092201,92.79496133,93.2669754,92186800,2020,July,17,-0.63903398,-0.680503819,89.99061394,83.17789612
20-07-2020,Apple,93.35412563,95.37045717,93.01040144,95.23248291,90318000,2020,July,20,1.87835728,2.012077417,90.51962967,83.61606766
21-07-2020,Apple,96.02158958,96.09662666,93.6687953,93.91811371,103433200,2020,July,21,-2.10347587,-2.190628044,90.8721859,83.99304718
22-07-2020,Apple,93.62037186,94.8621253,93.53323489,94.1819458,89001600,2020,July,22,0.56157394,0.599841604,91.14522514,84.35167816
23-07-2020,Apple,93.91567347,93.99313347,89.08664176,89.89511108,197004400,2020,July,23,-4.02056239,-4.281034508,91.28222885,84.64200134
24-07-2020,Apple,88.09663095,90.01614081,86.312665,89.67241669,185438800,2020,July,24,1.57578574,1.788701478,91.35024529,84.946073
27-07-2020,Apple,90.73265714,91.88968946,90.50996881,91.7977066,121214000,2020,July,27,1.06504946,1.173832547,91.66019936,85.28350082
28-07-2020,Apple,91.36922943,91.54593365,90.28481173,90.28965759,103625600,2020,July,28,-1.07957184,-1.181548588,91.79611473,85.59962708
29-07-2020,Apple,90.77137832,92.20435906,90.73507125,92.02039337,90329200,2020,July,29,1.24901505,1.376000974,91.98201561,85.91526932
30-07-2020,Apple,91.19499365,93.23795574,90.78833958,93.13387299,158130000,2020,July,30,1.93887934,2.126080898,92.23194046,86.26199234
31-07-2020,Apple,99.61614158,103.0339853,97.62158684,102.8839111,374336800,2020,July,31,3.26776952,3.280361464,92.96936722,86.7742334
03-08-2020,Apple,104.7622625,108.0905462,104.4645372,105.4763336,308151200,2020,August,3,0.7140711,0.681610995,93.7185337,87.34984512
04-08-2020,Apple,105.6651425,107.2699816,104.94381,106.1807251,173071600,2020,August,4,0.5155826,0.487940098,94.51695938,87.92966873
05-08-2020,Apple,105.9023334,106.8850839,105.4375808,106.565567,121776800,2020,August,5,0.6632336,0.626269109,95.22957496,88.52764587
06-08-2020,Apple,106.8971874,110.7773599,106.3089908,110.2835617,202428800,2020,August,6,3.3863743,3.1678797,96.10824051,89.193302
07-08-2020,Apple,109.8058602,110.261749,106.9808137,107.7761917,198045600,2020,August,7,-2.0296685,-1.848415464,96.85342903,89.80813324
10-08-2020,Apple,109.2190308,110.3587528,106.6971008,109.3427048,212403600,2020,August,10,0.123674,0.113234845,97.6983654,90.45579544
11-08-2020,Apple,108.6079645,109.1050731,105.8314116,106.0908813,187902400,2020,August,11,-2.5170832,-2.317586202,98.30422058,91.01949234
12-08-2020,Apple,107.1796813,109.8737875,106.9856895,109.616745,165598000,2020,August,12,2.4370637,2.273811296,99.05405349,91.64649353
13-08-2020,Apple,110.9940543,112.5581393,110.5066403,111.5566406,210082000,2020,August,13,0.5625863,0.506861654,99.9590969,92.30367492
14-08-2020,Apple,111.3820878,111.5469815,109.6506811,111.4572601,165565200,2020,August,14,0.0751723,0.067490475,100.8686111,92.9724237
17-08-2020,Apple,112.5775656,112.6018164,110.5406224,111.1662521,119561600,2020,August,17,-1.4113135,-1.253636542,101.6652996,93.59091095
18-08-2020,Apple,110.918923,112.5169538,110.5842809,112.0925903,105633600,2020,August,18,1.1736673,1.058130811,102.5740234,94.21843673
19-08-2020,Apple,112.4999595,113.6445287,112.1386468,112.2332153,145538000,2020,August,19,-0.2667442,-0.237106041,103.4765869,94.79779724
20-08-2020,Apple,112.2744479,114.837605,112.2574716,114.7236328,126907200,2020,August,20,2.4491849,2.181426804,104.718013,95.38412216
21-08-2020,Apple,115.6814816,121.1181873,115.6693599,120.6356277,338054800,2020,August,21,4.9541461,4.282574904,106.2661735,96.17069564
24-08-2020,Apple,124.8331668,124.9180484,120.216098,122.0784454,345937600,2020,August,24,-2.7547214,-2.206722356,107.7802105,96.97208633
25-08-2020,Apple,120.9532835,121.421294,119.3576728,121.0769501,211495600,2020,August,25,0.1236666,0.102243276,109.3195751,97.73316314
26-08-2020,Apple,122.3912807,123.1793843,121.326731,122.7234955,163022400,2020,August,26,0.3322148,0.271436656,110.8547302,98.48316467
27-08-2020,Apple,123.324885,123.6570998,120.1142669,121.2564163,155552400,2020,August,27,-2.0684687,-1.677251676,112.2608574,99.20619674
28-08-2020,Apple,122.2287949,122.6458838,120.8368851,121.0599823,187630000,2020,August,28,-1.1688126,-0.956249794,113.1696609,99.92462219
31-08-2020,Apple,123.7492594,127.0665681,122.2166991,125.1654129,225702700,2020,August,31,1.4161535,1.144373313,114.1541149,100.7348871
01-09-2020,Apple,128.773671,130.7524251,126.6106343,130.1510315,151948100,2020,September,1,1.3773605,1.069597915,115.3526302,101.6005679
02-09-2020,Apple,133.458628,133.836917,123.1866139,127.4544907,200119000,2020,September,2,-6.0041373,-4.498875337,116.3970764,102.3752345
03-09-2020,Apple,123.0993753,124.9714176,116.8818399,117.2504272,257599600,2020,September,3,-5.8489481,-4.75140356,116.7454197,102.9771423
04-09-2020,Apple,116.4647195,119.9857207,107.5603623,117.3279953,332607200,2020,September,4,0.8632758,0.741233743,117.2230099,103.5574605
08-09-2020,Apple,110.528494,115.4171621,109.2966307,109.4324265,231366600,2020,September,8,-1.0960675,-0.991660576,117.2274959,104.0341365
09-09-2020,Apple,113.7390909,115.5626384,111.799144,113.797287,176940500,2020,September,9,0.0581961,0.051166314,117.6128162,104.5586552
10-09-2020,Apple,116.7460436,116.8818394,109.1220492,110.0823212,182274400,2020,September,10,-6.6637224,-5.707878567,117.636095,104.9942541
11-09-2020,Apple,111.1298709,111.7700571,106.6970921,108.6370392,180860300,2020,September,11,-2.4928317,-2.243169797,117.490115,105.4042874
14-09-2020,Apple,111.2753814,112.4490486,109.4130337,111.8961639,140150100,2020,September,14,0.6207825,0.557879463,117.5120602,105.8795032
15-09-2020,Apple,114.776998,115.2619849,110.1987206,112.0707703,184642000,2020,September,15,-2.7062277,-2.357813627,117.5572861,106.3110585
16-09-2020,Apple,111.7700698,112.5169462,108.6758514,108.7631454,154679000,2020,September,16,-3.0069244,-2.690276928,117.3908138,106.6820772
17-09-2020,Apple,106.4255222,108.831053,105.4458467,107.0269012,178011000,2020,September,17,0.601379,0.565070283,117.1304981,106.9763501
18-09-2020,Apple,107.0850921,107.5506753,102.9045007,103.6319809,287104900,2020,September,18,-3.4531112,-3.224642322,116.5759155,107.1947847
21-09-2020,Apple,101.4010417,106.881394,100.0042773,106.7746964,195713800,2020,September,21,5.3736547,5.299407787,115.882869,107.4728302
22-09-2020,Apple,109.2966309,109.4712264,105.8823269,108.4527512,183055400,2020,September,22,-0.8438797,-0.772100378,115.2015843,107.7930057
23-09-2020,Apple,108.268477,108.7437621,103.5640982,103.903595,150718700,2020,September,23,-4.364882,-4.031535421,114.3429165,107.991602
24-09-2020,Apple,102.0120983,106.9395648,101.8472046,104.97052,167743300,2020,September,24,2.9584217,2.900069452,113.4552677,108.1986107
25-09-2020,Apple,105.174241,109.0638373,104.437059,108.908638,149981400,2020,September,25,3.734397,3.550676444,112.8378788,108.507668
